dataset,kernel,w_tilde
irvine,"PowerLaw(0.0, 1.0)",[17.96524817]
lastfm,"PowerLaw(0.0, 0.15)",[0.05]
lastfm,"PowerLaw(0.0, 0.15)",[-0.00094568]
irvine,"PowerLaw(0.0, 0.0005)",[-1.83004847]
irvine,"PowerLaw(0.0, 0.5)",[0.00824541]
irvine,"PowerLaw(0.0, 0.5)",[-0.40232474]
irvine,"PowerLaw(0.0, 0.5)",[-0.21117857]
irvine,"PowerLaw(0.0, 0.5)",[-0.41225882]
irvine,"PowerLaw(0.0, 0.5)",[0.04496254]
irvine,"PowerLaw(0.0, 0.5)",[-0.45784676]
irvine,"PowerLaw(0.0, 0.5)",[0.998755]
irvine,"PowerLaw(0.0, 0.5)",[0.99882861]
irvine,"PowerLaw(0.0, 0.5)",[0.99987695]
irvine,"PowerLaw(0.0, 0.5)",[0.99989575]
irvine,"PowerLaw(0.0, 0.5)",[0.95065558]
irvine,"PowerLaw(0.0, 0.5)",[0.95080547]
irvine,"PowerLaw(0.0, 0.5)",[0.97248474]
irvine,"PowerLaw(0.0, 0.5)",[0.02836935]
lastfm,"PowerLaw(0.0, 1.0)",[0.03623487]
lastfm,"PowerLaw(0.0, 1.0)",[0.03612406]
digg,"PowerLaw(0.0, 0.15)",[0.99482013]
digg,"PowerLaw(0.0, 0.15)",[0.99464232]
digg,"PowerLaw(0.0, 0.15)",[-0.00300094]
digg,"PowerLaw(0.0, 0.15)",[-0.00291469]
digg,"PowerLaw(0.0, 0.15)",[-0.00402257]
irvine,"ExponentialPseudo(0.0, 0.5)",[-0.00057836]
irvine,"PowerLaw(0.0, 1.0)",[-0.00249906]
irvine,"PowerLaw(0.0, 1.0)",[-0.00230946]
irvine,"PowerLaw(0.0, 1.0)",[-0.00011019]
irvine,"ExponentialPseudo(0.0, 0.5)",[-0.000364]
irvine,"ExponentialPseudo(0.0, 0.5)",[-6.77077519e-07]
digg,"PowerLaw(0.0, 0.15)",[-0.00088609]
digg,"ExponentialPseudo(0.0, 0.3)",[nan]
digg,"ExponentialPseudo(0.0, 0.2)",[-0.01278155]
digg,"ExponentialPseudo(0.0, 0.25)",[-0.00103778]
digg,"ExponentialPseudo(0.0, 0.25)",[-0.00103778]
digg,"ExponentialPseudo(0.0, 0.45)",[-0.00028562]
synthetic,"ExponentialPseudo(0.0, 0.6)","[-6.71249236e-05 -6.48451141e-05  1.07348711e-04  3.97424156e-04
  3.97424156e-04]"
synthetic,Constant(0.0),[nan nan nan nan nan]
synthetic,Constant(0.0),[ 0.0012267  -0.00634189 -0.00894019 -0.01684457 -0.01684457]
synthetic,"ExponentialPseudo(0.0, 0.01)",[ 0.00168113 -0.00662159 -0.00923225 -0.0177358  -0.0177358 ]
synthetic,"ExponentialPseudo(0.0, 0.01)",[0. 0. 0. 0. 0.]
synthetic,Constant(0.0),[nan nan nan nan nan]
digg,"ExponentialPseudo(0.0, 0.45)",[-0.19990243]
synthetic,Constant(0.0),"[ 1.54990350e+02  1.82769472e+01 -9.20799427e-02  6.37267966e-01
  6.37267966e-01]"
digg,"ExponentialPseudo(0.0, 0.45)",[-4.44208739]
digg,"ExponentialPseudo(0.0, 0.65)",[-0.03198228]
synthetic,"ExponentialPseudo(0.0, 0.5)",[-2.9868785  -6.17951289 -2.37682861  0.33860939  0.33860939]
memes,"ExponentialPseudo(0.0, 0.1)",[0.00458836]
digg,"ExponentialPseudo(0.0, 0.65)",[-0.00118553]
digg,"PowerLaw(0.0, 1.5)",[-0.06912434]
digg,"PowerLaw(0.0, 0.75)",[0.01037814]
digg,"PowerLaw(0.0, 0.05)",[-0.03115429]
digg,"ExponentialPseudo(0.0, 0.05)",[-0.16335089]
synthetic,"ExponentialPseudo(0.0, 0.5)",[-2.54738838 -3.91992796 -3.00024114 -0.77272941 -0.77272941]
irvine,"ExponentialPseudo(0.0, 0.5)",[0.40199449]
synthetic,"ExponentialPseudo(0.0, 0.5)",[-0.69382501  0.48411952  1.42661166  0.05509967  0.05509967]
synthetic,"ExponentialPseudo(0.0, 0.5)",[0.46911845 1.50185196 0.31342074 0.67208298 0.67208298]
synthetic,"ExponentialPseudo(0.0, 0.5)",[ 0.03971381  0.00350637 -0.00491487 -0.0107013  -0.0107013 ]
synthetic,"ExponentialPseudo(0.0, 0.05)",[0.00995857 0.0100789  0.01001605 0.00933814 0.00933814]
lastfm,"PowerLaw(0.0, 0.5)",[-0.0091424]
memes,"ExponentialPseudo(0.0, 0.05)",[-2.94771062]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.0280704  -0.01719409 -0.00281655 -0.23233448 -0.23233448]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.07932215 -0.10249451 -0.10452382 -0.61066443 -0.61066443]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.34821473 -0.39616575 -0.33590354 -0.68593549 -0.68593549]
lastfm,"PowerLaw(0.0, 0.5)",[-0.01067802]
lastfm,"PowerLaw(0.0, 1.0)",[-0.00480697]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.37684439 -0.44725485 -0.53677276 -0.75482885 -0.75482885]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.07891121 -0.13396194 -0.17250546 -0.61611508 -0.61611508]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.39287993 -0.43131634 -0.43757555 -0.72172388 -0.72172388]
